DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.1016/j.seppur.2011.02.022,carbides Ti,"Regeneration of spent carbon nanotube by electrokinetic process with binary metallic oxide electrodes of MnO2/Ti RuO2/Ti, and PbO2/Ti",Separation and Purification Technology,1383-5866,Elsevier BV,journal-article,https://doi.org/10.1016/j.seppur.2011.02.022,79,2,238-245,en,2011-6,,2011-6,"Ching, Yuan, Yung-Dun, Dai, Chung-Hsuang, Hung"
10.1016/s0966-9795(00)00016-9,carbides Ti,Stability of B2 ordered phase in the Ti-rich portion of Ti–Al–Cr and Ti–Al–Fe ternary systems,Intermetallics,0966-9795,Elsevier BV,journal-article,https://doi.org/10.1016/s0966-9795(00)00016-9,8,8,869-875,en,2000-8,,2000-8,"R, Kainuma, I, Ohnuma, K, Ishikawa, K, Ishida"
10.1016/j.wear.2018.11.016,carbides Ti,"Erosive wear behavior of Ti/Ti(V,Zr)N multilayered PVD coatings for Ti-6Al-4V alloy",Wear,0043-1648,Elsevier BV,journal-article,https://doi.org/10.1016/j.wear.2018.11.016,418-419,,160-166,en,2019-1,,2019-1,"Konstantin S., Selivanov, Anatoly M., Smyslov, Yuri M., Dyblenko, Irina P., Semenova"
10.1002/chin.200623004,carbides Ti,New Cubic Perovskite Na(Cu<sub>2.5</sub>Ti<sub>0.5</sub>)Ti<sub>4</sub>O<sub>12</sub> with Square Planar Coordination of Ti<sup>4+</sup>.,ChemInform,"0931-7597, 1522-2667",Wiley,journal-article,https://doi.org/10.1002/chin.200623004,37,23,,en,2006-6-6,2006-5-18,2006-5-18,"Maxim, Avdeev, Vladimir B., Nalbandyan"
10.1016/j.ceramint.2018.01.187,carbides Ti,"Comparative study of Ti-C-Ni-Al, Ti-C-Ni-Fe, and Ti-C-Ni-Al/Ti-C-Ni-Fe coatings produced by magnetron sputtering, electro-spark deposition, and a combined two-step process",Ceramics International,0272-8842,Elsevier BV,journal-article,https://doi.org/10.1016/j.ceramint.2018.01.187,44,7,7637-7646,en,2018-5,,2018-5,"Ph.V., Kiryukhantsev-Korneev, A.N., Sheveyko, N.V., Shvindina, E.A., Levashov, D.V., Shtansky"
10.4028/www.scientific.net/kem.651-653.3,carbides Ti,Flow Localization Modelling in Ti Alloys and Ti Matrix Composites,Key Engineering Materials,1662-9795,"Trans Tech Publications, Ltd.",journal-article,https://doi.org/10.4028/www.scientific.net/kem.651-653.3,651-653,,3-8,,,2015-7-10,2015-7-10,"Dilek, Halici, Maria Cecilia, Poletti"
10.1017/cbo9781139178877.010,carbides Ti,CHAPTER IX,Ti-ping tien-kwoh,,Cambridge University Press,book-chapter,https://doi.org/10.1017/cbo9781139178877.010,,,234-265,,2012-8-23,,2012-8-23,
10.1016/j.cattod.2013.09.034,carbides Ti,Ti(III)APO-5 materials as selective catalysts for the allylic oxidation of cyclohexene: Effect of Ti source and Ti content,Catalysis Today,0920-5861,Elsevier BV,journal-article,https://doi.org/10.1016/j.cattod.2013.09.034,227,,57-64,en,2014-5,,2014-5,"Almudena, Alfayate, Carlos, Márquez-Álvarez, Marisol, Grande-Casas, Manuel, Sánchez-Sánchez, Joaquín, Pérez-Pariente"
10.4028/www.scientific.net/kem.655.87,carbides Ti,Characterization of Metal-Like Carbides-Graphene Composite Prepared by SPS Method,Key Engineering Materials,1662-9795,"Trans Tech Publications, Ltd.",journal-article,https://doi.org/10.4028/www.scientific.net/kem.655.87,655,,87-91,,,2015-7-20,2015-7-20,"Piotr, Wyzga, Lucyna, Jaworska, Piotr, Putyra, Marcin, Podsiadlo, Jolanta, Cyboron"
10.1016/j.proeng.2011.11.108,carbides Ti,Influence of machining process on residual stresses in the surface of cemented carbides,Procedia Engineering,1877-7058,Elsevier BV,journal-article,https://doi.org/10.1016/j.proeng.2011.11.108,19,,252-257,en,2011,,2011,"M., Merkleina, K., Andreasa, U., Engela"
10.1103/physrevb.64.235115,carbides Ti,Correlation between core-level shift and bulk modulus in transition-metal carbides and nitrides,Physical Review B,"0163-1829, 1095-3795",American Physical Society (APS),journal-article,https://doi.org/10.1103/physrevb.64.235115,64,23,,en,,2001-11-28,2001-11-28,"Antonín, Šimůnek, Jiří, Vackář"
10.17073/1997-308x-2022-4-58-66,carbides Ti,Features of SHS of multicomponent carbides,Izvestiya vuzov. Poroshkovaya metallurgiya i funktsional’nye pokrytiya,"2412-8767, 1997-308X",National University of Science and Technology MISiS,journal-article,https://doi.org/10.17073/1997-308x-2022-4-58-66,,4,58-66,,,2022-12-10,2022-12-10,"N. A., Kochetov, I. D., Kovalev"
10.1016/j.calphad.2017.09.002,carbides Ti,A new thermodynamic description of stable Cr-carbides for the third generation of thermodynamic database,Calphad,0364-5916,Elsevier BV,journal-article,https://doi.org/10.1016/j.calphad.2017.09.002,59,,107-111,en,2017-12,,2017-12,"Zhou, Li, Huahai, Mao, Malin, Selleby"
10.1017/cbo9781139178877.014,carbides Ti,CHAPTER XIII,Ti-ping tien-kwoh,,Cambridge University Press,book-chapter,https://doi.org/10.1017/cbo9781139178877.014,,,360-391,,2012-8-23,,2012-8-23,
